代理人,部门,保费收入,保单数,续保率(%),投诉数,客户数,转化率(%),综合得分
张三,一部,125000,45,92.3,0,210,21.4,89
李四,一部,118000,42,91.1,1,198,20.8,87
王五,一部,32000,12,45.2,8,89,6.7,28
赵六,一部,132000,48,93.5,0,225,22.1,91
孙七,二部,98000,38,88.7,2,176,18.9,82
周八,二部,105000,40,89.2,1,185,19.5,84
吴九,二部,29000,10,41.8,7,76,5.9,25
郑十,二部,112000,41,90.5,1,192,20.1,86
钱一,三部,145000,52,94.1,0,240,23.5,93
冯二,三部,138000,49,93.8,0,232,22.9,92
陈三,三部,35000,14,48.3,9,95,7.2,31
褚四,三部,128000,46,92.7,0,218,21.7,90
卫五,一部,102000,39,89.5,1,188,19.8,83
蒋六,一部,95000,37,88.2,2,172,18.5,81
沈七,二部,115000,43,91.3,1,201,20.9,88
韩八,二部,89000,35,87.1,3,165,17.8,79
杨九,三部,135000,48,93.2,0,229,22.4,91
朱十,三部,108000,40,90.1,1,190,20.3,85
秦一,一部,110000,41,90.8,1,195,20.5,86
尤二,一部,92000,36,87.8,2,170,18.3,80
许三,二部,103000,39,89.7,1,189,19.9,84
何四,二部,119000,44,91.6,1,205,21.2,88
吕五,三部,122000,45,92.1,0,212,21.5,89
施六,三部,97000,38,88.5,2,175,18.8,82
张一,一部,31000,11,44.5,8,85,6.5,27
李二,一部,129000,47,92.9,0,220,21.9,90
王三,二部,28000,9,40.9,7,74,5.7,24
赵四,二部,106000,40,89.9,1,191,20.2,85
孙五,三部,33000,13,47.1,8,92,7.0,30
周六,三部,114000,42,91.0,1,199,20.7,87
吴七,一部,101000,38,89.3,1,186,19.7,83
郑八,一部,94000,36,88.0,2,171,18.4,80
钱九,二部,111000,41,90.6,1,193,20.4,86
冯十,二部,90000,35,87.3,3,166,17.9,79
陈一,三部,133000,47,93.0,0,227,22.2,91
褚二,三部,107000,40,90.3,1,189,20.1,85
卫三,一部,113000,42,91.2,1,198,20.8,87
蒋四,一部,96000,37,88.3,2,173,18.6,81
沈五,二部,104000,39,89.6,1,187,19.8,84
韩六,二部,117000,43,91.4,1,203,21.0,88
杨七,三部,124000,45,92.2,0,214,21.6,89
朱八,三部,98000,38,88.6,2,176,18.9,12
